JEWETT FLD AP (MI),54822,,Lat: 42.5658,Lon: -84.4331,Elev: 922 ft,,,
Date,Hr,Min,Temp (F),Wind Spd (mph),Wind Direction (deg),Peak WindGust(mph),Low Cloud Ht (ft),Visibility (mi)
03/02/21,13,35,35,10,230,20,5000*,10,
03/02/21,13,55,36,14,230,18,5000*,10,
03/02/21,14,15,36,9,200,17,5000*,10,
03/02/21,14,35,37,8,210,17,5000*,10,
03/02/21,14,55,38,10,210,17,5000*,10,
03/02/21,15,15,38,9,210,20,5000*,10,
03/02/21,15,35,38,10,220,23,5000*,10,
03/02/21,15,55,38,8,210,22,5000*,10,
03/02/21,16,15,38,13,220,23,5000*,10,
03/02/21,16,35,38,9,220,23*,5000*,10,
03/02/21,16,55,38,15,230,22,5000*,10,
03/02/21,17,15,37,10,220,21,5000*,10,
03/02/21,17,35,37,9,220,20,5000*,10,
03/02/21,17,55,36,9,230,18,5000*,10,
03/02/21,18,15,36,8,220,18*,5000*,10,
03/02/21,18,35,35,8,220,17,5000*,10,
03/03/21, 8,15,35,6,220,18*,5000*,10,
03/03/21, 8,35,36,7,230,18*,5000*,10,
03/03/21, 8,55,37,7,240,18*,5000*,10,
03/03/21, 9,15,39,8,260,18*,5000*,10,
03/03/21, 9,35,40,7,260,18*,5000*,10,
03/03/21, 9,55,40,10,260,17,5000*,10,
03/03/21,10,15,42,6,240,17*,5000*,10,
03/03/21,10,35,43,7,260,17*,5000*,10,
03/03/21,10,55,44,9,260,17*,5000*,10,
03/03/21,11,15,44,9,280,16,5000*,10,
03/03/21,11,35,45,9,260,16*,5000*,10,
03/03/21,11,55,47,8,280,18,5000*,10,
03/03/21,12,15,47,7,270,20,5000*,10,
03/03/21,12,35,48,15,270,20,5000*,10,
03/03/21,12,55,49,9,260,21,5000*,10,
03/03/21,13,15,50,7,250,20,5000*,10,
03/03/21,13,35,51,9,260,21,5000*,10,
03/03/21,13,55,52,11,280,21,5000*,10,
03/03/21,14,15,52,10,280,21,5000*,10,
03/03/21,14,35,52,14,280,24,5000*,10,
03/03/21,14,55,52,14,300,22,5000*,10,
03/03/21,15,15,52,15,290,22,5000*,10,
03/03/21,15,35,51,13,290,23,5000*,10,
03/03/21,15,55,51,15,290,24,5000*,10,
03/03/21,16,15,50,14,280,22,5000*,10,
03/03/21,16,35,49,13,300,24,5000*,10,
03/03/21,16,55,49,14,300,24,5000*,10,
03/03/21,17,15,48,14,290,24,5000*,10,
03/03/21,17,35,47,14,290,20,5000*,10,
03/03/21,17,55,46,10,290,22,5000*,10,
03/03/21,18,15,45,9,290,22*,5000*,10,
03/03/21,18,35,44,10,290,22*,4200,10,
03/03/21,18,55,42,8,290,22*,4700,10,
03/05/21,11,55,35,15,320,21,2900*,10,
03/05/21,12,15,35,13,320,21*,2900*,10,
03/05/21,12,35,37,13,330,21*,3200,10,
03/05/21,12,55,38,10,320,17,3400,10,
03/05/21,13,15,39,15,340,20,3400,10,
03/05/21,13,35,39,10,320,18,3800,10,
03/05/21,13,55,39,14,290,18*,3800*,10,
03/05/21,14,15,40,14,340,17,3800*,10,
03/05/21,14,35,41,14,330,23,3800*,10,
03/05/21,14,55,40,13,300,21,3800*,10,
03/05/21,15,15,41,17,340,23,3800*,10,
03/05/21,15,35,42,11,300,17,3800*,10,
03/05/21,15,55,41,13,320,21,3800*,10,
03/05/21,16,15,41,17,310,23,3800*,10,
03/05/21,16,35,41,15,310,23*,3800*,10,
03/05/21,16,55,40,14,320,28,3800*,10,
03/05/21,17,15,40,14,320,21,3800*,10,
03/05/21,17,35,39,14,320,22,3800*,10,
03/05/21,17,55,39,11,320,22*,3800*,10,
03/05/21,18,15,38,13,320,18,3800*,10,
03/05/21,18,35,37,10,320,18*,3800*,10,
03/05/21,18,55,36,9,320,18,3800*,10,
03/06/21,12,15,35,10,300,18*,3300*,10,
03/06/21,12,35,35,9,310,17,3300*,10,
03/06/21,12,55,36,10,310,17,3300*,10,
03/06/21,13,15,37,9,320,17*,3300*,10,
03/06/21,13,35,37,10,330,17,3300*,10,
03/06/21,13,55,38,11,310,18,3300*,10,
03/06/21,14,15,38,7,310,18*,3300*,10,
03/06/21,14,35,38,11,280,18,3300*,10,
03/06/21,14,55,39,11,300,23,4900,10,
03/06/21,15,15,40,14,310,20,4900*,10,
03/06/21,15,35,39,15,310,20,5000,10,
03/06/21,15,55,36,10,300,20,5000,10,
03/06/21,16,15,39,10,310,16,5000,10,
03/06/21,16,35,38,10,290,16,5000,10,
03/06/21,16,55,39,15,290,16*,5500,10,
03/06/21,17,15,38,8,290,16*,5500,10,
03/06/21,17,35,37,14,310,18,5500,10,
03/06/21,17,55,36,10,300,18*,5500,10,
03/06/21,18,15,37,11,290,18*,5000,10,
03/06/21,18,35,36,10,280,18*,4800,10,
03/06/21,18,55,35,11,280,18*,5000,10,
03/07/21,13,55,35,6,240,18*,4800*,10,
03/07/21,14,15,36,5,300,18*,4800*,10,
03/07/21,14,35,37,6,280,18*,4800*,10,
03/07/21,14,55,37,6,10,18*,4800*,10,
03/07/21,15,15,38,3,240,18*,4800*,10,
03/07/21,15,35,38,5,310,18*,4800*,10,
03/07/21,15,55,39,3,200,18*,4800*,10,
03/07/21,16,15,39,3,240,18*,4800*,10,
03/07/21,16,35,39,0,0,18*,4800*,10,
03/07/21,16,55,39,0,0,18*,4800*,10,
03/07/21,17,15,38,0,0,18*,4800*,10,
03/07/21,17,35,38,0,0,18*,4800*,10,
