JEWETT FLD AP (MI),54822,,Lat: 42.5658,Lon: -84.4331,Elev: 922 ft,,,
Date,Hr,Min,Temp (F),Wind Spd (mph),Wind Direction (deg),Peak WindGust(mph),Low Cloud Ht (ft),Visibility (mi)
03/03/21, 9,55,40,10,260,17,5000*,10,
03/03/21,12,35,48,15,270,20,5000*,10,
03/03/21,15,15,52,15,290,22,5000*,10,
03/03/21,16,15,50,14,280,22,5000*,10,
03/05/21,15,35,42,11,300,17,3800*,10,
03/05/21,16,15,41,17,310,23,3800*,10,
03/06/21,16,35,38,10,290,16,5000,10,
03/06/21,16,55,39,15,290,16*,5500,10,
03/07/21,14,15,36,5,300,18*,4800*,10,either
03/07/21,15,15,38,3,240,18*,4800*,10,either
03/07/21,15,35,38,5,310,18*,4800*,10,either
03/07/21,15,55,39,3,200,18*,4800*,10,either
03/07/21,16,15,39,3,240,18*,4800*,10,either
03/07/21,16,35,39,0,0,18*,4800*,10,either
03/07/21,16,55,39,0,0,18*,4800*,10,either
03/07/21,17,15,38,0,0,18*,4800*,10,either
03/07/21,17,35,38,0,0,18*,4800*,10,either
03/07/21,17,55,38,0,0,18*,4800*,10,either
03/07/21,18,15,37,0,0,18*,4800*,10,either
03/07/21,18,35,36,0,0,18*,4800*,10,either
03/07/21,18,55,35,0,0,18*,4800*,10,either
03/08/21, 6,35,37,5,200,18*,7000*,10,either
03/08/21, 6,55,37,3,200,18*,7000*,10,either
03/08/21, 7,15,37,5,200,18*,7000*,10,either
03/08/21, 8,15,42,5,200,18*,7000*,10,either
03/08/21,16,55,60,15,270,21,7500,10,
03/08/21,17,35,59,11,270,17,7500*,10,
03/08/21,18,55,55,6,270,0*,7500*,10,
03/09/21, 8,35,35,6,90,0*,7500*,5,
03/09/21, 8,55,38,0,0,0*,7500*,7,either
03/09/21, 9,15,43,0,0,0*,7500*,10,either
03/09/21, 9,35,45,5,130,0*,7500*,10,either
03/09/21,10,55,51,9,140,0*,7500*,10,either
03/09/21,11,15,52,11,140,0*,7500*,10,either
03/09/21,13,35,57,11,120,16,7500*,10,
03/09/21,13,55,58,10,120,16,7500*,10,
03/09/21,18,35,54,13,120,16,7500*,10,
03/09/21,18,55,53,15,120,16*,7500*,10,
